symbol,lastPrice,volume
LOOMBTC,0.00000399,45827714.00000000
LOOMETH,0.00000000,0.00000000
LOOMBNB,0.00000000,0.00000000
XRPUSDT,0.51920000,595781931.00000000
BCNBTC,0.00000000,0.00000000
BCNETH,0.00000000,0.00000000
BCNBNB,0.00000000,0.00000000
REPBTC,0.00000000,0.00000000
REPBNB,0.00000000,0.00000000
BTCTUSD,29507.76000000,6210.30921000
TUSDBTC,0.00000000,0.00000000
ETHTUSD,1605.40000000,12141.80590000
TUSDETH,0.00000000,0.00000000
TUSDBNB,0.00000000,0.00000000
ZENBTC,0.00026430,1543.64000000
ZENETH,0.00484800,1368.78000000
ZENBNB,0.00000000,0.00000000
SKYBTC,0.00000000,0.00000000
SKYETH,0.00000000,0.00000000
SKYBNB,0.00000000,0.00000000
EOSUSDT,0.54800000,7129078.10000000
EOSBNB,0.00258300,11564.30000000
CVCBTC,0.00000000,0.00000000
CVCETH,0.00000000,0.00000000
CVCBNB,0.00000000,0.00000000
THETABTC,0.00001978,489860.80000000
THETAETH,0.00036300,21692.60000000
THETABNB,0.00273600,6109.50000000
XRPBNB,0.00244100,1331104.00000000
TUSDUSDT,0.99910000,77661221.00000000
IOTAUSDT,0.14280000,11386998.00000000
XLMUSDT,0.10840000,89242600.00000000
IOTXBTC,0.00000059,2607329.00000000
IOTXETH,0.00001094,935257.00000000
QKCBTC,0.00000029,46132695.00000000
QKCETH,0.00000535,9626661.00000000
AGIBTC,0.00000000,0.00000000
AGIETH,0.00000000,0.00000000
AGIBNB,0.00000000,0.00000000
NXSBTC,0.00000000,0.00000000
NXSETH,0.00000000,0.00000000
NXSBNB,0.00000000,0.00000000
ENJBNB,0.00000000,0.00000000
DATABTC,0.00000082,1849182.00000000
DATAETH,0.00000000,0.00000000
ONTUSDT,0.16950000,4342584.00000000
TRXBNB,0.00042860,2116837.00000000
TRXUSDT,0.09116000,320925599.10000000
ETCUSDT,15.29000000,570489.81000000
ETCBNB,0.07190000,376.94000000
ICXUSDT,0.18380000,6695218.00000000
SCBTC,0.00000000,0.00000000
SCETH,0.00000185,3388383.00000000
NPXSBTC,0.00000000,0.00000000
NPXSETH,0.00000000,0.00000000
VENUSDT,0.00000000,0.00000000
KEYBTC,0.00000000,0.00000000
KEYETH,0.00000000,0.00000000
NASBTC,0.00000000,0.00000000
NASETH,0.00000000,0.00000000
NASBNB,0.00000000,0.00000000
MFTBTC,0.00000000,0.00000000
MFTETH,0.00000000,0.00000000
MFTBNB,0.00000000,0.00000000
DENTBTC,0.00000000,0.00000000
DENTETH,0.00000039,44527029.00000000
ARDRBTC,0.00000337,22611591.00000000
ARDRETH,0.00000000,0.00000000
ARDRBNB,0.00000000,0.00000000
NULSUSDT,0.17410000,670245.00000000
HOTBTC,0.00000000,0.00000000
HOTETH,0.00000080,64754939.00000000
VETBTC,0.00000056,70803673.00000000
VETETH,0.00001030,7980470.00000000
VETUSDT,0.01652000,325428343.00000000
VETBNB,0.00007770,2764287.00000000
DOCKBTC,0.00000050,5666576.00000000
DOCKETH,0.00000000,0.00000000
POLYBTC,0.00000000,0.00000000
POLYBNB,0.00000000,0.00000000
PHXBTC,0.00000000,0.00000000
PHXETH,0.00000000,0.00000000
PHXBNB,0.00000000,0.00000000
HCBTC,0.00000000,0.00000000
HCETH,0.00000000,0.00000000
GOBTC,0.00000000,0.00000000
GOBNB,0.00000000,0.00000000
PAXBTC,0.00000000,0.00000000
PAXBNB,0.00000000,0.00000000
